Timestamp,Class,Confidence,Restricted Area Violation
2026-03-02 14:56:46,person,0.44427213072776794,Yes
2026-03-02 14:56:53,person,0.6767784953117371,Yes
2026-03-02 14:56:55,person,0.4057632088661194,Yes
2026-03-02 14:56:58,person,0.6093364357948303,Yes
2026-03-02 14:57:01,person,0.5151721239089966,Yes
2026-03-02 14:57:03,person,0.566677987575531,Yes
2026-03-02 14:57:13,person,0.5765834450721741,Yes
2026-03-02 14:57:15,person,0.5435919761657715,Yes
2026-03-02 14:57:17,person,0.4214639663696289,Yes
2026-03-02 14:57:20,person,0.44086217880249023,Yes
2026-03-02 14:57:23,person,0.5973924994468689,Yes
2026-03-02 14:57:25,person,0.43098458647727966,Yes
2026-03-02 14:57:28,person,0.5756243467330933,Yes
2026-03-02 14:57:30,person,0.6834214329719543,Yes
2026-03-02 14:57:32,person,0.8843613862991333,Yes
2026-03-02 14:57:34,person,0.8707230091094971,Yes
2026-03-02 14:57:36,person,0.8905994892120361,Yes
2026-03-02 14:57:38,person,0.8310096859931946,Yes
2026-03-02 14:57:40,person,0.8634527921676636,Yes
2026-03-02 14:58:44,car,0.9389828443527222,Yes
2026-03-02 14:58:46,car,0.9141079783439636,Yes
2026-03-02 14:58:48,car,0.9343276023864746,Yes
2026-03-02 14:58:51,car,0.8810446858406067,Yes
2026-03-02 14:58:53,car,0.926876962184906,Yes
2026-03-02 14:58:56,car,0.6977208852767944,Yes
2026-03-02 14:58:58,car,0.9009495377540588,Yes
